Jurisdiction,"Angela Alsobrooks
Democratic","Larry Hogan
Republican","Mike Scott
Libertarian","Patrick J. Burke
(Write In)
Other Candidates","Billy Bridges
(Write In)
Unaffiliated","Irwin William Gibbs
(Write In)
Unaffiliated","Christy Renee Helmondollar
(Write In)
Unaffiliated","Robin Rowe
(Write In)
Unaffiliated",Other Write-Ins
Allegany,"7,396","21,811","2,100",17,1,0,0,0,86
Anne Arundel,"135,310","162,112","7,116",143,6,0,0,1,614
Baltimore City,"171,011","39,151","3,301",32,0,0,0,0,295
Baltimore County,"204,493","182,880","8,968",124,8,1,0,0,841
Calvert,"18,359","33,580","1,691",24,2,0,1,3,95
Caroline,"3,790","11,536",750,11,1,0,0,0,41
Carroll,"26,180","72,049","3,359",78,0,0,0,0,325
Cecil,"13,392","35,557","2,803",9,0,0,0,0,111
Charles,"57,890","31,940","1,795",0,0,0,0,0,165
Dorchester,"5,837","10,113",634,4,0,0,0,0,51
Frederick,"66,280","83,767","4,293",79,0,0,0,2,348
Garrett,"2,423","11,966","1,049",16,0,1,0,1,46
Harford,"48,108","95,455","5,160",26,3,0,0,0,427
Howard,"103,163","75,247","3,003",37,7,0,0,2,333
Kent,"4,340","6,375",314,7,0,0,0,0,19
Montgomery,"320,893","159,631","5,980",0,0,0,0,0,739
Prince George's,"309,942","59,209","4,043",0,0,0,0,0,594
Queen Anne's,"8,204","22,842","1,056",10,3,0,1,0,80
Saint Mary's,"18,426","37,471","2,406",30,2,0,0,0,122
Somerset,"3,077","5,909",546,1,1,0,0,0,75
Talbot,"8,778","13,393",569,5,2,0,0,0,32
Washington,"21,488","46,870","3,456",28,1,0,0,1,149
Wicomico,"17,163","27,244","1,940",9,1,0,0,0,123
Worcester,"8,864","22,358","1,245",2,1,0,0,0,90
Totals,"1,584,807 (54.14%)","1,268,466 (43.33%)","67,577 (2.31%)",692 (0.02%),39 (0.00%),2 (0.00%),2 (0.00%),10 (0.00%),"5,801 (0.20%)"